,english,tamil
330,production,தயாரிப்பு
331,you,நீங்கள்
332,value,மதிப்பு
333,order,ஆர்டர்
334,trade,வர்த்தக
335,financial,நிதி
336,possible,சாத்தியமான
337,far,இதுவரை
338,access,அணுகல்
339,design,வடிவமைப்பு
340,point,புள்ளி
341,however,எனினும்
342,political,அரசியல்
343,become,ஆக
344,features,அம்சங்கள்
345,fell,விழுந்தது
346,late,தாமதமாக
347,news,செய்தி
348,san,சான்
349,important,முக்கியமான
350,systems,அமைப்புகள்
351,move,நடவடிக்கை
352,director,இயக்குனர்
353,military,இராணுவ
354,total,மொத்த
355,court,நீதிமன்றம்
356,here,இங்கே
357,foreign,வெளிநாட்டு
358,washington,வாஷிங்டன்
359,n,N
360,operations,நடவடிக்கைகளை
361,future,எதிர்கால
362,best,சிறந்த
363,average,சராசரி
364,growth,வளர்ச்சி
365,tax,வரி
366,lower,குறைந்த
367,meeting,சந்தித்தல்
368,left,விட்டு
369,drive,இயக்கி
370,issues,பிரச்சினைகள்
371,give,கொடுக்க
372,us,எங்களுக்கு
373,country,நாட்டின்
374,official,அதிகாரி
375,big,பெரிய
376,executive,நிர்வாகி
377,level,நிலை
378,general,பொது
379,investment,முதலீட்டு
380,john,ஜான்
381,an,ஒரு
382,came,வந்தது
383,chairman,தலைவர்
384,find,கண்டுபிடிக்க
385,me,என்னை
386,close,நெருக்கமான
387,june,ஜூன்
388,range,வரம்பில்
389,given,கொடுக்கப்பட்ட
390,interface,இடைமுகம்
391,these,இந்த
392,bank,வங்கி
393,buy,வாங்க
394,to,க்கு
395,japanese,ஜப்பனீஸ்
396,real,உண்மையான
397,place,இடத்தில்
398,bank,வங்கி
399,making,தயாரித்தல்
400,includes,அடங்கும்
401,result,விளைவாக
402,firm,நிறுவனம்
403,with,உடன்
404,model,மாதிரி
405,reports,அறிக்கைகள்
406,half,அரை
407,every,ஒவ்வொரு
408,points,புள்ளிகள்
409,march,அணிவகுப்பு
410,never,ஒருபோதும்
411,enough,போதும்
412,provides,வழங்குகிறது
413,yesterday,நேற்று
414,times,முறை
415,addition,கூடுதலாக
416,no,இல்லை
417,life,வாழ்க்கை
418,common,பொதுவான
419,changes,மாற்றங்கள்
420,dos,டோஸ்
421,further,மேலும்
422,top,மேல்
423,decision,முடிவு
424,compared,ஒப்பிடும்போது
425,likely,வாய்ப்பு
426,due,காரணமாக
427,period,காலம்
428,open,திறந்த
429,markets,சந்தைகளில்
430,call,அழைப்பு
431,capital,தலைநகர்
432,name,பெயர்
433,national,தேசிய
434,closed,மூடப்பட்டது
435,recently,சமீபத்தில்
436,proposed,முன்மொழியப்பட்ட
437,single,ஒற்றை
438,able,முடியும்
439,lot,நிறைய
440,sold,விற்கப்படும்
441,south,தெற்கு
442,package,தொகுப்பு
443,test,சோதனை
444,customers,வாடிக்கையாளர்கள்
445,british,பிரிட்டிஷ்
446,cut,வெட்டு
447,sell,விற்க
448,international,சர்வதேச
449,full,முழு
450,running,இயங்கும்
451,equipment,உபகரணங்கள்
452,computers,கணினிகள்
453,index,குறியீட்டு
454,congress,காங்கிரஸ்
455,contract,ஒப்பந்த
456,paper,காகித
457,workers,தொழிலாளர்கள்
458,vice,துணை
459,study,ஆய்வு
460,others,மற்றவர்கள்
461,system,அமைப்பு
462,research,ஆராய்ச்சி
463,low,குறைந்த
464,makes,உண்மையில் அது
465,federal,மத்திய
466,city,நகரம்
467,may,மே
468,got,கிடைத்தது
469,family,குடும்ப
470,policy,கொள்கை
471,investors,முதலீட்டாளர்கள்
472,record,சாதனை
473,loss,இழப்பு
474,received,பெற்றார்
475,april,ஏப்ரல்
476,exchange,பரிமாற்றம்
477,code,குறியீடு
478,graphics,கிராபிக்ஸ்
479,agency,நிறுவனம்
480,increased,அதிகரித்த
481,manager,மேலாளர்
482,keep,வை
483,look,பார்க்க
484,often,அடிக்கடி
485,designed,வடிவமைக்கப்பட்டுள்ளது
486,european,ஐரோப்பிய
487,earnings,வருவாய்
488,environment,சூழல்
489,july,ஜூலை
490,job,வேலை
491,third,மூன்றாவது
492,water,நீர்
493,net,நிகர
494,banks,வங்கிகள்
495,analysts,ஆய்வாளர்கள்
496,strong,வலுவான
497,party,கட்சி
498,economy,பொருளாதாரம்
499,away,விட்டு
500,dollar,டாலர்
501,taken,எடுத்து
502,developed,வளர்ந்த
503,continue,தொடர்ந்து
504,allow,அனுமதிக்க
505,microsoft,மைக்ரோசாப்ட்
506,key,முக்கிய
507,security,பாதுகாப்பு
508,project,திட்டம்
509,agreed,ஒப்பு
510,japan,ஜப்பான்
511,rather,மாறாக
512,countries,நாடுகளில்
513,plant,ஆலை
514,apple,ஆப்பிள்
515,action,நடவடிக்கை
516,after,பிறகு
517,screen,திரை
518,war,போர்
519,processing,செயலாக்க
520,employees,ஊழியர்கள்
521,included,சேர்க்கப்பட்டுள்ளது
522,asked,கேட்டார்
523,special,சிறப்பு
524,field,துறையில்
525,energy,ஆற்றல்
526,old,பழைய
527,deal,ஒப்பந்தம்
528,offers,சலுகைகள்
529,nearly,கிட்டத்தட்ட
530,weeks,வாரங்கள்
531,debt,கடன்
532,she,அவள்
533,charges,குற்றச்சாட்டுக்கள்
534,union,தொழிற்சங்க
535,needs,தேவைகளை
536,effect,விளைவு
537,income,வருமானம்
538,uses,பயன்கள்
539,computer,கணினி
540,east,கிழக்கு
541,similar,ஒத்த
542,europe,ஐரோப்பா
543,create,உருவாக்க
544,form,வடிவம்
545,main,முக்கிய
546,free,இலவச
547,return,திரும்ப
548,machine,இயந்திரம்
549,hours,மணி
550,yet,இன்னும்
551,text,உரை
552,almost,கிட்டத்தட்ட
553,all,அனைத்து
554,man,ஆண்
555,required,தேவையான
556,hardware,வன்பொருள்
557,private,தனியார்
558,allows,அனுமதிக்கிறது
559,killed,கொலை
560,international,சர்வதேச
561,known,அறியப்பட்ட
562,things,விஷயங்களை
563,base,அடித்தளம்
564,bonds,பத்திரங்கள்
565,groups,குழுக்கள்
566,list,பட்டியலில்
567,mac,மேக்
568,done,முடிந்ததாகக்
569,means,வழிமுறையாக
570,additional,கூடுதல்
571,gas,எரிவாயு
572,areas,பகுதிகளில்
573,trying,முயற்சி
574,force,படை
575,funds,நிதி
576,lost,இழந்தது
577,server,சர்வர்
578,texas,டெக்சாஸ்
579,os,OS
580,city,நகரம்
581,calls,அழைப்புகள்
582,space,விண்வெளி
583,annual,வருடாந்திர
584,color,நிறம்
585,sunday,ஞாயிறு
586,networks,நெட்வொர்க்குகள்
587,believe,நம்பிக்கை
588,size,அளவு
589,administration,நிர்வாகம்
590,states,மாநிலங்களில்
591,functions,செயல்பாடுகளை
592,release,வெளியீடு
593,corporate,பெருநிறுவன
594,t,டி
595,needed,தேவை
596,miles,மைல்ஸ்
597,london,லண்டன்
598,comment,கருத்து
599,building,கட்டிடம்
600,comes,வரும்
601,demand,தேவை
602,stocks,பங்குகள்
603,start,தொடக்கத்தில்
604,really,உண்மையில்
605,general,பொது
606,cash,பணம்
607,campaign,பிரச்சாரம்
608,head,தலை
609,children,குழந்தைகள்
610,lan,லான்
611,probably,ஒருவேளை
612,marketing,சந்தைப்படுத்தல்
613,night,இரவு
614,lines,கோடுகள்
615,saying,கூறி
616,profit,இலாப
617,series,தொடர்
618,state,நிலை
619,potential,சாத்தியமான
620,tools,கருவிகள்
621,type,வகை
622,amount,அளவு
623,final,இறுதி
624,sale,விற்பனை
625,university,பல்கலைக்கழக
626,drug,மருந்து
627,machines,இயந்திரங்கள்
628,north,வடக்கு
629,budget,பட்ஜெட்
630,analysis,ஆய்வு
631,cases,வழக்குகள்
632,california,கலிபோர்னியா
633,car,கார்
634,following,பின்வரும்
635,ended,முடிந்தது
636,whose,யாருடைய
637,leaders,தலைவர்கள்
638,vendors,விற்பனையாளர்கள்
639,most,மிகவும்
640,statement,அறிக்கை
641,ii,ஆ
642,certain,சில
643,operation,அறுவை சிகிச்சை
644,concern,அக்கறை
645,function,செயல்பாடு
646,fact,உண்மையில்
647,fall,விழும்
648,air,விமான
649,released,வெளியிடப்பட்டது
650,german,ஜெர்மன்
651,exchange,பரிமாற்றம்
652,j,J
653,personal,தனிப்பட்ட
654,telephone,தொலைபேசி
655,school,பள்ளி
656,position,நிலையை
657,previous,முந்தைய
658,bid,முயற்சியில்
659,stock,பங்கு
660,outside,வெளியே
661,group,குழு
662,rights,உரிமைகள்
663,levels,அளவுகள்
664,so,அதனால்
665,macintosh,மெக்கின்டோஷ்
666,involved,சம்பந்தப்பட்ட
667,always,எப்போதும்
668,display,காட்சி
669,source,மூல
670,method,முறை
671,leader,தலைவர்
672,language,மொழி
673,talks,பேச்சுவார்த்தை
674,terms,விதிமுறை
675,quality,தரமான
676,senate,செனட்
677,many,நிறைய
678,communications,தொடர்புகள்
679,officer,அதிகாரி
680,estimated,மதிப்பீட்டிலான
681,unix,யூனிக்ஸ்
682,d,ஈ
683,led,தலைமையிலான
684,charge,வசூலிக்க
685,black,கருப்பு
686,germany,ஜெர்மனியைத்
687,software,மென்பொருள்
688,senior,மூத்த
689,reached,அடைந்தது
690,together,ஒன்றாக
691,eight,எட்டு
692,selling,விற்பனை
693,rise,உயரும்
694,america,அமெரிக்கா
695,difficult,கடினமான
696,great,பெரிய
697,standards,தரத்தை
698,printer,பிரிண்டர்
699,having,கொண்ட
700,by,மூலம்
701,seen,பார்த்த
702,various,பல்வேறு
703,speed,வேகம்
704,considered,கருதப்படுகிறது
705,first,முதல்
706,declined,குறைந்துள்ளது
707,latest,சமீபத்திய
708,central,மத்திய
709,calif,காலிஃப்
710,nuclear,அணு
711,currently,தற்போது
712,vote,வாக்கு
713,existing,இருக்கும்
714,above,மேலே
715,yen,யென்
716,his,அவரது
717,commercial,வணிக
718,clear,தெளிவான
719,students,மாணவர்கள்
720,court,நீதிமன்றம்
721,service,சேவை
722,revenue,வருவாய்
723,saturday,சனி
724,pressure,அழுத்தம்
725,effort,முயற்சி
726,taking,எடுத்து
727,present,தற்போது
728,meet,சந்திக்க
729,conditions,நிலைமைகள்
730,approach,அணுகுமுறை
731,output,வெளியீடு
732,offering,பிரசாதம்
733,staff,ஊழியர்கள்
734,death,மரணம்
735,described,விவரித்தார்
736,word,சொல்
737,women,பெண்கள்
738,profits,இலாபம்
739,sources,ஆதாரங்கள்
740,easy,எளிதாக
741,spending,செலவு
742,at,மணிக்கு
743,january,ஜனவரி
744,ram,ரேம்
745,video,காணொளி
746,robert,ராபர்ட்
747,reagan,ரீகன்
748,men,ஆண்கள்
749,role,பங்கு
750,technical,தொழில்நுட்ப
751,died,இறந்தார்
752,seven,ஏழு
753,image,படத்தை
754,course,நிச்சயமாக
755,conference,மாநாட்டில்
756,television,தொலைக்காட்சி
757,offered,வழங்கப்படும்
758,significant,குறிப்பிடத்தக்க
759,sent,அனுப்பிய
760,remain,இருக்கும்
761,rule,ஆட்சி
762,data,தகவல்கள்
763,paid,பணம்
764,scheduled,திட்டமிடப்பட்டுள்ளது
765,december,டிசம்பர்
766,ability,திறன்
767,managers,மேலாளர்கள்
768,street,தெரு
769,basis,அடிப்படையில்
770,units,அலகுகள்
771,side,பக்க
772,view,பார்வை
773,securities,பத்திரங்கள்
774,complete,முழு
775,proposal,திட்டம்
776,food,உணவு
777,lead,வழிவகுக்கும்
778,assets,சொத்துக்களை
779,card,அட்டை
780,short,குறுகிய
781,what,என்ன
782,credit,கடன்
783,doing,செய்து
784,world,உலக
785,air,விமான
786,forces,படைகள்
787,september,செப்டம்பர்
788,parts,பாகங்கள்
789,face,முகம்
790,office,அலுவலகம்
791,question,கேள்வி
792,reduce,குறைக்க
793,now,இப்போது
794,claims,கூற்றுக்கள்
795,defense,பாதுகாப்பு
796,fire,தீ
797,date,தேதி
798,white,வெள்ளை
799,efforts,முயற்சிகள்
800,structure,அமைப்பு
801,specific,குறிப்பிட்ட
802,require,தேவைப்படும்
803,soon,விரைவில்
804,review,ஆய்வு
805,october,அக்டோபர்
806,toward,நோக்கி
807,expect,எதிர்பார்க்க
808,figures,புள்ளிவிவரங்கள்
809,simple,எளிய
810,member,உறுப்பினர்
811,dollars,டாலர்கள்
812,looking,தேடும்
813,jobs,வேலைகள்
814,health,சுகாதார
815,rules,விதிகள்
816,works,படைப்புகள்
817,hold,நடத்த
818,r,ஆர்
819,gave,கொடுத்தார்
820,necessary,தேவையான
821,getting,பெறுவது
822,limited,வரையறுக்கப்பட்ட
823,showed,காட்டியது
824,shows,நிகழ்ச்சிகள்
825,named,என்ற
826,thing,விஷயம்
827,capabilities,திறன்களை
828,other,மற்ற
829,presented,வழங்கினார்
830,especially,குறிப்பாக
831,ever,எப்போதும்
832,requirements,தேவைகள்
833,committee,குழு
834,response,பதில்
835,supports,ஆதரவுகள்
836,processor,செயலி
837,turn,முறை
838,volume,தொகுதி
839,priced,விலையிடப்படுகின்றன
840,bond,பத்திர
841,models,மாதிரிகள்
842,insurance,காப்பீடு
843,commission,கமிஷன்
844,requires,தேவைப்படுகிறது
845,won,வெற்றி
846,multiple,பல
847,separate,தனி
848,started,தொடங்கியது
849,board,குழு
850,since,முதல்
851,via,வழியாக
852,book,புத்தகம்
853,supply,வழங்கல்
854,troops,துருப்புக்கள்
855,two,இரண்டு
856,decided,முடிவு
857,created,உருவாக்கப்பட்ட
858,continued,தொடர்ந்து
859,tests,சோதனைகள்
860,let,நாம்
861,begin,தொடங்கும்
862,longer,நீண்ட
863,hit,வெற்றி
864,house,வீட்டில்
865,losses,இழப்புகள்
866,august,ஆகஸ்ட்
867,buying,கொள்முதல்
868,command,கட்டளை
869,directly,நேரடியாக
870,fiscal,நிதி
871,x,எக்ஸ்
872,develop,உருவாக்க
873,thought,நினைத்தேன்
874,account,கணக்கு
875,p,ப
876,complex,சிக்கலான
877,takes,எடுக்கும்
878,produce,உற்பத்தி
879,try,முயற்சி
880,filed,தாக்கல்
881,association,சங்கம்
882,wanted,விரும்பினேன்
883,discussed,விவாதிக்கப்படும்
884,wants,விரும்புகிறார்
885,document,ஆவணம்
886,below,கீழே
887,behind,பின்னால்
888,even,கூட
889,businesses,தொழில்கள்
890,james,ஜேம்ஸ்
891,shown,காட்டப்பட்டுள்ளது
892,training,பயிற்சி
893,department,துறை
894,drives,இயக்கிகள்
895,firms,நிறுவனங்கள்
896,growing,வளர்ந்து வரும்
897,last,கடந்த
898,analyst,ஆய்வாளர்
899,team,அணி
900,play,விளையாட
901,press,செய்தியாளர்
902,why,ஏன்
903,programming,நிரலாக்க
904,investigation,விசாரணை
905,union,தொழிற்சங்க
906,trial,விசாரணை
907,reason,காரணம்
908,kind,வகையான
909,feature,அம்சம்
910,light,ஒளி
911,november,நவம்பர்
912,democratic,ஜனநாயக
913,manager,மேலாளர்
914,numbers,எண்கள்
915,turned,திரும்பி
916,purchase,கொள்முதல்
917,futures,எதிர்கால
918,seems,தெரிகிறது
919,los,லாஸ்
920,storage,சேமிப்பு
921,french,பிரஞ்சு
922,gain,ஆதாயம்
923,planned,திட்டமிட்ட
924,party,கட்சி
925,inflation,வீக்கம்
926,read,படிக்க
927,hand,கை
928,built,கட்டப்பட்ட
929,industrial,தொழில்துறை
930,david,டேவிட்
931,strategy,மூலோபாயம்
932,authorities,அதிகாரிகள்
933,expects,எதிர்பார்க்கிறது
934,committee,குழு
935,distribution,விநியோகம்
936,runs,ரன்கள்
937,address,முகவரி
938,cars,கார்கள்
939,particularly,குறிப்பாக
940,individual,தனிப்பட்ட
941,center,சென்டர்
942,legal,சட்ட
943,documents,ஆவணங்கள்
944,brought,கொண்டு
945,effective,பயனுள்ள
946,leave,விட்டு
947,newspaper,செய்தித்தாள்
948,quickly,விரைவில்
949,notes,குறிப்புகள்
950,written,எழுதப்பட்ட
951,build,உருவாக்க
952,chicago,சிகாகோ
953,western,மேற்கு
954,yield,மகசூல்
955,management,மேலாண்மை
956,reduced,குறைக்கப்பட்டது
957,bring,கொண்டு
958,independent,சுயாதீன
959,loans,கடன்
960,moved,சென்றார்
961,phone,தொலைபேசி
962,remains,எஞ்சியுள்ள
963,transfer,பரிமாற்ற
964,approved,ஒப்புதல்
965,simply,வெறுமனே
966,nine,ஒன்பது
967,feel,உணர
968,previously,முன்பு
969,dropped,கைவிடப்பட்டது
970,center,சென்டர்
971,failed,தோல்வி
972,decline,சரிவு
973,worth,மதிப்பு
974,benefits,நன்மைகள்
975,device,சாதனம்
976,matter,விஷயம்
977,county,கவுண்டி
978,human,மனித
979,electronic,மின்னணு
980,add,கூட்டு
981,condition,நிலை
982,direct,நேரடி
983,aid,உதவி
984,worked,வேலை
985,dec,டிசம்பர்
986,m,மீ
987,election,தேர்தல்
988,february,பிப்ரவரி
989,original,அசல்
990,under,கீழ்
991,also,மேலும்
992,step,படி
993,jose,Jose
994,anything,எதுவும்
995,letter,கடிதம்
996,michael,மைக்கேல்
997,idea,யோசனை
998,message,செய்தி
999,history,வரலாறு
1000,b,ஆ
1001,st,ஸ்டம்ப்
1002,themselves,தங்களை
1003,allowed,அனுமதி
1004,effects,விளைவுகள்
1005,introduced,அறிமுகப்படுத்தப்பட்டது
1006,term,கால
1007,competition,போட்டி
1008,drop,கைவிட
1009,caused,ஏற்படும்
1010,front,முன்
1011,capacity,திறன்
1012,according,படி
1013,stake,பங்குகளை
1014,solution,தீர்வு
1015,charged,விதிக்கப்படும்
1016,cause,காரணம்
1017,pcs,பிசிக்கள்
1018,box,பெட்டியில்
1019,issued,வெளியிட்டது
1020,evidence,ஆதாரங்கள்
1021,sure,உறுதி
1022,division,பிரிவு
1023,beginning,தொடங்கி
1024,helped,உதவியது
1025,region,பிராந்தியம்
1026,spent,கழித்தார்
1027,room,அறை
1028,advantage,நன்மை
1029,another,மற்றொரு
1030,planning,திட்டமிடல்
1031,testing,சோதனை
1032,increases,அதிகரிக்கும்
1033,william,வில்லியம்
1034,fund,நிதி
1035,instead,பதிலாக
1036,canada,கனடா
1037,particular,குறிப்பிட்ட
1038,produced,உற்பத்தி
1039,overall,ஒட்டுமொத்த
1040,receive,பெறும்
1041,activity,செயல்பாடு
1042,wife,மனைவி
1043,nothing,எதுவும்
1044,whole,முழு
1045,l,எல்
1046,mode,முறையில்
1047,dollars,டாலர்கள்
1048,care,பாதுகாப்பு
1049,tried,முயற்சி
1050,its,அதன்
1051,iraq,ஈராக்
1052,lotus,தாமரை
1053,flow,ஓட்டம்
1054,fast,வேகமாக
1055,treasury,கருவூல
1056,chip,சிப்
1057,usually,வழக்கமாக
1058,serious,தீவிர
1059,values,மதிப்புகள்
1060,types,வகையான
1061,devices,சாதனங்கள்
1062,page,பக்கம்
1063,consider,கருத்தில்
1064,customer,வாடிக்கையாளர்
1065,holding,வைத்திருக்கும்
1066,construction,கட்டுமான
1067,tool,கருவி
1068,images,படங்கள்
1069,powerful,சக்திவாய்ந்த
1070,opposition,எதிர்ப்பு
1071,wall,சுவர்
1072,minister,அமைச்சர்
1073,minister,அமைச்சர்
1074,initial,ஆரம்ப
1075,fuel,எரிபொருள்
1076,coming,வரும்
1077,americans,அமெரிக்கர்கள்
1078,desktop,டெஸ்க்டாப்
1079,developers,டெவலப்பர்கள்
1080,window,ஜன்னல்
1081,contracts,ஒப்பந்தங்கள்
1082,heavy,கனரக
1083,attorney,வழக்கறிஞர்
1084,rest,ஓய்வு
1085,bad,கெட்ட
1086,george,ஜார்ஸ்
1087,game,விளையாட்டு
1088,executives,நிர்வாகிகள்
1089,versions,பதிப்புகள்
1090,y,ஒய்
1091,bought,வாங்கி
1092,gives,கொடுக்கிறது
1093,changed,மாற்றம்
1094,survey,கணக்கெடுப்பு
1095,session,அமர்வு
1096,consumer,நுகர்வோர்
1097,domestic,உள்நாட்டு
1098,israel,இஸ்ரேல்
1099,monitor,மானிட்டர்
1100,related,தொடர்புடைய
1101,jones,ஜோன்ஸ்
1102,facilities,வசதிகள்
1103,mail,மெயில்
1104,stores,கடைகள்
1105,situation,நிலைமை
1106,followed,தொடர்ந்து
1107,methods,முறைகள்
1108,coal,நிலக்கரி
1109,variety,பல்வேறு
1110,determine,தீர்மானிக்க
1111,despite,போதிலும்
1112,china,சீனா
1113,hope,நம்புகிறேன்
1114,utility,பயன்பாடு
1115,option,விருப்பத்தை
1116,judge,நீதிபதி
1117,sun,சூரியன்
1118,summer,கோடை
1119,choice,தேர்வு
1120,records,பதிவுகள்
1121,risk,ஆபத்து
1122,resources,வளங்கள்
1123,manufacturing,உற்பத்தி
1124,raised,எழுப்பப்பட்ட
1125,strike,வேலைநிறுத்தம்
